consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products
51940229,200108671,FRAGANCIAS,ESIKA,82.9,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
52108101,200106651,MAQUILLAJE,ESIKA,17.9,2024-07-24,15,376.7,430.195,149,0.24561403508771928,0.1994572591587517,2651.1,88,76
52108101,200064310,FRAGANCIAS,ESIKA,8.9,2024-07-24,15,376.7,430.195,149,0.24561403508771928,0.1994572591587517,2651.1,88,76
51347056,200115451,CUIDADO PERSONAL,ESIKA,31.9,2024-07-24,16,378.4,430.195,149,0.2631578947368421,0.1994572591587517,6335.389999999999,235,162
51940229,200106346,FRAGANCIAS,ESIKA,14.0,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
52324610,200115454,CUIDADO PERSONAL,ESIKA,19.57,2024-07-24,11,399.2,430.195,149,0.17543859649122806,0.1994572591587517,1579.1,54,51
52108101,200078931,CUIDADO PERSONAL,ESIKA,16.9,2024-07-24,15,376.7,430.195,149,0.24561403508771928,0.1994572591587517,2651.1,88,76
51940229,210096207,MAQUILLAJE,ESIKA,17.9,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
51940229,210105393,COMPLEMENTOS,CYZONE,44.9,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
51940229,210104978,BIJOUTERIE,CYZONE,64.9,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
51973836,200106444,MAQUILLAJE,ESIKA,19.9,2024-07-24,11,379.0,430.195,149,0.17543859649122806,0.1994572591587517,4441.3,151,128
52108101,210105822,BIJOUTERIE,ESIKA,59.9,2024-07-24,15,376.7,430.195,149,0.24561403508771928,0.1994572591587517,2651.1,88,76
51940229,200114550,TRATAMIENTO FACIAL,CYZONE,21.9,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
52324610,200102370,FRAGANCIAS,ESIKA,28.14,2024-07-24,11,399.2,430.195,149,0.17543859649122806,0.1994572591587517,1579.1,54,51
51347056,200114207,MAQUILLAJE,CYZONE,16.9,2024-07-24,16,378.4,430.195,149,0.2631578947368421,0.1994572591587517,6335.389999999999,235,162
49754906,210105347,COMPLEMENTOS,CYZONE,62.9,2024-07-24,11,406.9,430.195,149,0.17543859649122806,0.1994572591587517,9579.65,323,242
